size, iter, time, chksum
2048,1000,15698176,6050.392578
4096,1000,40008960,-112788.875000
8192,1000,60236032,60571.039062
16384,1000,167845120,209355.453125
32768,1000,253746176,227435.656250
65536,1000,597635072,372006.031250
131072,1000,1186212096,194906.421875
2048,2000,25382912,10524.224609
4096,2000,51054848,-217678.781250
8192,2000,109100800,120724.578125
16384,2000,354680064,335568.937500
32768,2000,703774976,312161.500000
65536,2000,1152111104,523159.031250
131072,2000,2582078976,397802.437500
2048,3000,41777920,14996.587891
4096,3000,84845056,-322570.750000
8192,3000,162833920,180875.546875
16384,3000,558243072,461775.187500
32768,3000,785153792,396881.937500
65536,3000,1943822080,674301.000000
131072,3000,3676859904,600680.125000
2048,4000,57508864,19467.660156
4096,4000,109155072,-427464.562500
8192,4000,216058880,241027.218750
16384,4000,728123136,587967.625000
32768,4000,1379096832,481595.312500
65536,4000,2731296000,825454.500000
131072,4000,5877881088,803580.500000
2048,5000,66464000,23942.226562
4096,5000,137693952,-532353.375000
8192,5000,272796160,301176.562500
16384,5000,773926912,714165.125000
32768,5000,1829235968,566290.125000
65536,5000,3764631040,976609.312500
131072,5000,7872345856,1006459.437500
2048,1000,12286208,6050.392578
4096,1000,25876992,-112788.875000
8192,1000,55132928,60571.039062
16384,1000,174077184,209355.453125
32768,1000,273135872,227435.656250
65536,1000,522493952,372006.031250
131072,1000,1305001984,194906.421875
2048,2000,27620096,10524.224609
4096,2000,54241792,-217678.781250
8192,2000,111081984,120724.578125
16384,2000,341551872,335568.937500
32768,2000,519606016,312161.500000
65536,2000,1107878144,523159.031250
131072,2000,3197872896,397802.437500
2048,3000,39187200,14996.587891
4096,3000,80354048,-322570.750000
8192,3000,159835904,180875.546875
16384,3000,506102016,461775.187500
32768,3000,866516992,396881.937500
65536,3000,2637865216,674301.000000
131072,3000,4030159104,600680.125000
2048,4000,54671104,19467.660156
4096,4000,115087872,-427464.562500
8192,4000,221593088,241027.218750
16384,4000,656563968,587967.625000
32768,4000,1106489088,481595.312500
65536,4000,2988491008,825454.500000
131072,4000,6567678976,803580.500000
2048,5000,69573888,23942.226562
4096,5000,140059904,-532353.375000
8192,5000,257447936,301176.562500
16384,5000,889481984,714165.125000
32768,5000,1516135936,566290.125000
65536,5000,4229392128,976609.312500
131072,5000,8623526912,1006459.437500
2048,1000,15101184,6050.392578
4096,1000,32195072,-112788.875000
8192,1000,62791168,60571.039062
16384,1000,169907200,209355.453125
32768,1000,337825792,227435.656250
65536,1000,865107200,372006.031250
131072,1000,1398956032,194906.421875
2048,2000,38974976,10524.224609
4096,2000,72040192,-217678.781250
8192,2000,154647040,120724.578125
16384,2000,344059904,335568.937500
32768,2000,564891136,312161.500000
65536,2000,1336934144,523159.031250
131072,2000,2644500992,397802.437500
2048,3000,39717888,14996.587891
4096,3000,81899008,-322570.750000
8192,3000,166258944,180875.546875
16384,3000,492622080,461775.187500
32768,3000,796608000,396881.937500
65536,3000,1708581888,674301.000000
131072,3000,4305426944,600680.125000
2048,4000,52238848,19467.660156
4096,4000,110520832,-427464.562500
8192,4000,218544896,241027.218750
16384,4000,678404864,587967.625000
32768,4000,969176064,481595.312500
65536,4000,3113121024,825454.500000
131072,4000,4380861952,803580.500000
2048,5000,64003072,23942.226562
4096,5000,120989184,-532353.375000
8192,5000,279404800,301176.562500
16384,5000,945181952,714165.125000
32768,5000,1342995968,566290.125000
65536,5000,3987108864,976609.312500
131072,5000,6325140224,1006459.437500
2048,1000,14617088,6050.392578
4096,1000,28258048,-112788.875000
8192,1000,56953088,60571.039062
16384,1000,152549888,209355.453125
32768,1000,345399040,227435.656250
65536,1000,702571008,372006.031250
131072,1000,1356418048,194906.421875
2048,2000,24558080,10524.224609
4096,2000,55226880,-217678.781250
8192,2000,105161984,120724.578125
16384,2000,317821952,335568.937500
32768,2000,652548864,312161.500000
65536,2000,1362636032,523159.031250
131072,2000,2421998848,397802.437500
2048,3000,41620992,14996.587891
4096,3000,80393984,-322570.750000
8192,3000,165422848,180875.546875
16384,3000,511482880,461775.187500
32768,3000,1070427904,396881.937500
65536,3000,1478199040,674301.000000
131072,3000,3400179968,600680.125000
2048,4000,56116992,19467.660156
4096,4000,111250944,-427464.562500
8192,4000,193777920,241027.218750
16384,4000,652598016,587967.625000
32768,4000,1575150848,481595.312500
65536,4000,2185225984,825454.500000
131072,4000,5412948992,803580.500000
2048,5000,64907008,23942.226562
4096,5000,141244928,-532353.375000
8192,5000,278363904,301176.562500
16384,5000,880212224,714165.125000
32768,5000,1164890112,566290.125000
65536,5000,3182631936,976609.312500
131072,5000,6220297984,1006459.437500
2048,1000,12614144,6050.392578
4096,1000,25423104,-112788.875000
8192,1000,53444864,60571.039062
16384,1000,200193024,209355.453125
32768,1000,333430016,227435.656250
65536,1000,822764032,372006.031250
131072,1000,1451478016,194906.421875
2048,2000,25805056,10524.224609
4096,2000,55516928,-217678.781250
8192,2000,115478016,120724.578125
16384,2000,294867968,335568.937500
32768,2000,666948096,312161.500000
65536,2000,1260786944,523159.031250
131072,2000,2588285952,397802.437500
2048,3000,42386944,14996.587891
4096,3000,80113920,-322570.750000
8192,3000,166718976,180875.546875
16384,3000,505136128,461775.187500
32768,3000,825758976,396881.937500
65536,3000,1732592896,674301.000000
131072,3000,4707889152,600680.125000
2048,4000,54984960,19467.660156
4096,4000,118788096,-427464.562500
8192,4000,223481856,241027.218750
16384,4000,811497984,587967.625000
32768,4000,1026493952,481595.312500
65536,4000,2328157184,825454.500000
131072,4000,4835094784,803580.500000
2048,5000,70158080,23942.226562
4096,5000,142429184,-532353.375000
8192,5000,270330880,301176.562500
16384,5000,936446208,714165.125000
32768,5000,1356622080,566290.125000
65536,5000,2871831808,976609.312500
131072,5000,5339614976,1006459.437500
