size, iter, time, chksum
2048,1000,19931136,6050.392578
4096,1000,31954944,-112788.875000
8192,1000,64440064,60571.039062
16384,1000,172816896,209355.453125
32768,1000,328312064,227435.656250
65536,1000,589660928,372006.031250
131072,1000,1735943936,194906.421875
2048,2000,26135808,10524.224609
4096,2000,54206976,-217678.781250
8192,2000,111574016,120724.578125
16384,2000,356256000,335568.937500
32768,2000,624883968,312161.500000
65536,2000,1243753984,523159.031250
131072,2000,2970788096,397802.437500
2048,3000,43240960,14996.587891
4096,3000,80954112,-322570.750000
8192,3000,165694976,180875.546875
16384,3000,524571136,461775.187500
32768,3000,942525952,396881.937500
65536,3000,2579240960,674301.000000
131072,3000,3446701824,600680.125000
2048,4000,51451136,19467.660156
4096,4000,111400192,-427464.562500
8192,4000,219393792,241027.218750
16384,4000,730873856,587967.625000
32768,4000,1064596992,481595.312500
65536,4000,2670097920,825454.500000
131072,4000,7328628224,803580.500000
2048,5000,66987008,23942.226562
4096,5000,152310784,-532353.375000
8192,5000,284359936,301176.562500
16384,5000,914791936,714165.125000
32768,5000,1480843008,566290.125000
65536,5000,3508972032,976609.312500
131072,5000,6456834816,1006459.437500
2048,1000,13808128,6050.392578
4096,1000,26980096,-112788.875000
8192,1000,57096960,60571.039062
16384,1000,99813888,209355.453125
32768,1000,369814016,227435.656250
65536,1000,626201088,372006.031250
131072,1000,1140131072,194906.421875
2048,2000,28727040,10524.224609
4096,2000,57316096,-217678.781250
8192,2000,118379008,120724.578125
16384,2000,415652096,335568.937500
32768,2000,571835904,312161.500000
65536,2000,1423165952,523159.031250
131072,2000,3819298048,397802.437500
2048,3000,62087936,14996.587891
4096,3000,137744896,-322570.750000
8192,3000,254353920,180875.546875
16384,3000,792493056,461775.187500
32768,3000,1005065984,396881.937500
65536,3000,1886072064,674301.000000
131072,3000,3753431040,600680.125000
2048,4000,55580160,19467.660156
4096,4000,105687040,-427464.562500
8192,4000,223177984,241027.218750
16384,4000,694048000,587967.625000
32768,4000,1395535104,481595.312500
65536,4000,2245252096,825454.500000
131072,4000,4615710976,803580.500000
2048,5000,63987200,23942.226562
4096,5000,141843968,-532353.375000
8192,5000,284534016,301176.562500
16384,5000,901231872,714165.125000
32768,5000,1724316160,566290.125000
65536,5000,4414051072,976609.312500
131072,5000,5726008064,1006459.437500
2048,1000,12527104,6050.392578
4096,1000,25286912,-112788.875000
8192,1000,55993088,60571.039062
16384,1000,166373888,209355.453125
32768,1000,249296128,227435.656250
65536,1000,650540800,372006.031250
131072,1000,1734451200,194906.421875
2048,2000,26464000,10524.224609
4096,2000,50316032,-217678.781250
8192,2000,108781056,120724.578125
16384,2000,342632960,335568.937500
32768,2000,699055104,312161.500000
65536,2000,1276385792,523159.031250
131072,2000,2682137088,397802.437500
2048,3000,37944064,14996.587891
4096,3000,78379008,-322570.750000
8192,3000,160237824,180875.546875
16384,3000,488731904,461775.187500
32768,3000,1033391104,396881.937500
65536,3000,2530011136,674301.000000
131072,3000,4933260032,600680.125000
2048,4000,58166016,19467.660156
4096,4000,109628160,-427464.562500
8192,4000,220570112,241027.218750
16384,4000,628876800,587967.625000
32768,4000,1324942080,481595.312500
65536,4000,2309473024,825454.500000
131072,4000,5375584000,803580.500000
2048,5000,71256064,23942.226562
4096,5000,145105152,-532353.375000
8192,5000,277703936,301176.562500
16384,5000,944098816,714165.125000
32768,5000,1245588992,566290.125000
65536,5000,3991516928,976609.312500
131072,5000,6360545024,1006459.437500
2048,1000,12252160,6050.392578
4096,1000,25189888,-112788.875000
8192,1000,55986944,60571.039062
16384,1000,187211008,209355.453125
32768,1000,385108992,227435.656250
65536,1000,755186944,372006.031250
131072,1000,1550979072,194906.421875
2048,2000,24437760,10524.224609
4096,2000,55420928,-217678.781250
8192,2000,114176768,120724.578125
16384,2000,338256128,335568.937500
32768,2000,488889088,312161.500000
65536,2000,1282780928,523159.031250
131072,2000,2500481024,397802.437500
2048,3000,42619904,14996.587891
4096,3000,83290112,-322570.750000
8192,3000,162904064,180875.546875
16384,3000,456512000,461775.187500
32768,3000,1003358208,396881.937500
65536,3000,1782356992,674301.000000
131072,3000,3737127168,600680.125000
2048,4000,53182976,19467.660156
4096,4000,111700992,-427464.562500
8192,4000,220197120,241027.218750
16384,4000,677982208,587967.625000
32768,4000,1378456832,481595.312500
65536,4000,2432267008,825454.500000
131072,4000,5151232000,803580.500000
2048,5000,70555904,23942.226562
4096,5000,138644992,-532353.375000
8192,5000,277724928,301176.562500
