size, iter, time, chksum
2048,1000,20204032,6050.830567
4096,1000,38339072,-112788.307039
8192,1000,69042944,60572.131609
16384,1000,188030208,209359.694271
32768,1000,299544064,227435.792847
65536,1000,667984128,372004.559717
131072,1000,1420296960,194903.432779
2048,2000,28581888,10523.099551
4096,2000,53838080,-217678.275212
8192,2000,191712768,120720.877295
16384,2000,324056064,335575.125324
32768,2000,897699840,312152.197152
65536,2000,1166816000,523137.533740
131072,2000,2631644160,397797.746125
2048,3000,51499008,14995.368535
4096,3000,100590848,-322568.243385
8192,3000,305587968,180869.622981
16384,3000,597952000,461790.556378
32768,3000,957441024,396868.601458
65536,3000,2247427840,674270.507762
131072,3000,3731616768,600692.059470
2048,4000,69233920,19467.637519
4096,4000,154472192,-427458.211558
8192,4000,376460032,241018.368667
16384,4000,591289856,588005.987431
32768,4000,1361938944,481585.005763
65536,4000,2671015168,825403.481785
131072,4000,4761998080,803586.372815
2048,5000,99411968,23939.906503
4096,5000,154639104,-532348.179731
8192,5000,433148160,301167.114352
16384,5000,685128960,714221.418484
32768,5000,1732157952,566301.410068
65536,5000,2914786816,976536.455807
131072,5000,8005185024,1006480.686160
2048,1000,13237760,6050.830567
4096,1000,28889088,-112788.307039
8192,1000,104508928,60572.131609
16384,1000,176080896,209359.694271
32768,1000,331855104,227435.792847
65536,1000,784724992,372004.559717
131072,1000,1314264832,194903.432779
2048,2000,28442112,10523.099551
4096,2000,54889984,-217678.275212
8192,2000,173864960,120720.877295
16384,2000,272822016,335575.125324
32768,2000,634924032,312152.197152
65536,2000,1279627008,523137.533740
131072,2000,2870533120,397797.746125
2048,3000,41352960,14995.368535
4096,3000,85691136,-322568.243385
8192,3000,248483840,180869.622981
16384,3000,499789056,461790.556378
32768,3000,994523904,396868.601458
65536,3000,1781737984,674270.507762
131072,3000,4014488064,600692.059470
2048,4000,58236928,19467.637519
4096,4000,116166912,-427458.211558
8192,4000,352510976,241018.368667
16384,4000,699746048,588005.987431
32768,4000,1167980032,481585.005763
65536,4000,3304518144,825403.481785
131072,4000,5420030976,803586.372815
2048,5000,74285056,23939.906503
4096,5000,173302016,-532348.179731
8192,5000,423042048,301167.114352
16384,5000,708387072,714221.418484
32768,5000,1829398016,566301.410068
65536,5000,3295785984,976536.455807
131072,5000,7287283968,1006480.686160
2048,1000,13206016,6050.830567
4096,1000,26336000,-112788.307039
8192,1000,52436992,60572.131609
